Age,AnnualIncome,LoanAmount,CreditScore,EmploymentType,YearsOfExperience,ExistingLoans,MaritalStatus,DefaultProbability,Default
26,25066,9246,519,Salaried,1,1,Married,69.34138261124927,1
43,3724,5590,444,Unemployed,14,3,Single,100.0,1
19,27163,10054,550,Salaried,0,1,Single,95.99408981200592,1
37,68695,19129,658,Salaried,8,2,Divorced,59.807082337881624,1
24,12166,3716,586,Student,0,3,Married,100.0,1
64,115292,60162,640,Salaried,16,4,Married,86.96668756325396,1
24,36628,29921,601,Salaried,3,1,Married,81.69224635857414,1
61,120384,87210,747,Salaried,17,0,Married,28.490294203302472,0
25,12000,10586,491,Self-Employed,1,3,Single,100.0,1
64,117635,11502,707,Salaried,23,3,Married,24.882160926444897,0
24,5422,3024,407,Student,0,4,Married,100.0,1
31,99481,55600,613,Self-Employed,11,1,Married,50.49637068152823,0
34,67120,48259,673,Salaried,6,0,Married,44.09835565909833,0
53,110934,84559,577,Self-Employed,20,4,Divorced,98.22535687474374,1
67,134500,90108,820,Salaried,25,1,Single,9.800065078224565,0
57,76807,51639,714,Salaried,7,0,Married,34.256937170455565,0
21,12000,6643,635,Self-Employed,1,0,Single,86.32238727224838,1
19,1847,5640,438,Unemployed,0,2,Married,100.0,1
23,39478,7700,654,Salaried,1,0,Single,36.96298535574168,0
59,52229,42043,684,Salaried,1,1,Single,65.30024411423737,1
21,26947,11105,571,Salaried,0,4,Married,100.0,1
46,35757,10089,444,Salaried,0,4,Single,100.0,1
35,44430,9597,547,Salaried,5,2,Married,74.62933424998528,1
43,64688,22499,646,Salaried,3,1,Divorced,43.84556526572742,0
61,66767,70130,701,Self-Employed,5,0,Single,67.82276655197032,1
51,135782,65125,658,Salaried,22,2,Married,54.5889092099138,0
27,43992,39465,476,Salaried,4,3,Married,100.0,1
53,156446,87065,710,Self-Employed,18,1,Married,42.610138398895465,0
31,89208,50346,616,Self-Employed,10,2,Single,66.61774534713025,1
48,94664,63049,581,Salaried,12,4,Single,97.55767887534957,1
65,65645,27313,638,Salaried,7,2,Single,58.075097759823414,1
32,49937,19360,598,Self-Employed,6,3,Single,100.0,1
25,43845,29968,584,Salaried,4,1,Single,92.22452932547407,1
31,36218,17371,514,Salaried,0,2,Married,88.3247478676852,1
40,81680,36195,725,Self-Employed,5,0,Divorced,42.091464257802144,0
57,80290,41065,722,Salaried,6,1,Married,18.986829395576542,0
38,78001,68346,605,Salaried,15,2,Married,57.26981835879372,1
33,91381,14175,646,Salaried,13,2,Single,11.077793480276569,0
62,144280,58094,638,Salaried,26,1,Single,37.15152075997337,0
35,77887,10847,545,Salaried,14,4,Single,57.62955667155819,1
64,3317,6800,513,Unemployed,33,0,Single,100.0,1
41,102833,45680,701,Salaried,15,1,Married,41.817594972590385,0
43,116703,20719,620,Salaried,16,0,Married,12.828231942106132,0
42,93368,31271,653,Salaried,14,0,Single,41.66998769186369,0
20,11553,9141,554,Student,0,1,Single,100.0,1
58,33250,9944,647,Salaried,3,2,Married,47.48172576332054,0
46,95121,33188,602,Salaried,11,4,Married,29.224949610992642,0
22,2995,3569,619,Student,0,0,Single,100.0,1
62,90496,34228,736,Salaried,16,0,Divorced,6.297236313800849,0
18,24263,6424,603,Salaried,0,2,Divorced,46.78921034604902,0
42,67327,44487,552,Salaried,5,1,Single,85.263769091272,1
24,30770,2000,485,Salaried,1,4,Single,98.68715918282446,1
26,12000,4065,619,Salaried,5,0,Married,57.32502403785283,1
41,114140,87146,753,Self-Employed,17,0,Divorced,19.70268183810378,0
18,38838,16696,555,Salaried,0,1,Divorced,100.0,1
61,137034,96815,765,Salaried,26,2,Single,30.33816444306374,0
25,57508,16822,565,Salaried,1,3,Single,95.90869814330513,1
41,74023,15910,576,Salaried,5,2,Married,58.515395448243055,1
28,64531,32145,581,Salaried,7,0,Married,76.32952696055028,1
23,11698,9231,607,Student,0,0,Single,100.0,1
34,36182,27898,496,Salaried,3,4,Divorced,100.0,1
25,70741,11849,570,Self-Employed,3,2,Married,56.21205956802935,1
52,59778,15194,599,Salaried,6,3,Married,93.86017778736237,1
52,123637,69979,614,Salaried,25,4,Divorced,69.23169124934705,1
50,153638,61005,731,Salaried,25,3,Married,27.261668387314582,0
22,37501,4072,526,Salaried,2,4,Married,82.95832286709256,1
59,83158,27146,614,Salaried,1,2,Married,62.05797967324183,1
56,142928,105137,689,Salaried,27,0,Single,38.640088207578195,0
58,134053,72286,720,Self-Employed,12,3,Married,50.58898887220591,0
45,92767,24326,602,Salaried,17,2,Single,34.64284297667429,0
24,12000,5132,547,Salaried,2,3,Married,100.0,1
26,55499,56349,583,Salaried,4,2,Single,100.0,1
25,46198,20117,537,Salaried,2,4,Single,89.20859828405395,1
29,68393,46574,650,Salaried,7,2,Single,55.975841512849414,1
51,132301,20026,621,Salaried,24,4,Single,44.329822270780284,0
50,174104,154946,769,Salaried,29,0,Married,29.27816466863768,0
65,187237,130232,676,Self-Employed,28,4,Married,46.596645855108015,0
25,6054,5122,528,Student,0,1,Married,100.0,1
41,129273,85227,714,Salaried,21,0,Single,38.623370368429015,0
54,71954,15598,597,Salaried,4,2,Single,91.07485938346765,1
20,13289,3545,468,Student,0,2,Single,100.0,1
61,147955,56333,734,Salaried,18,1,Single,21.960277853027552,0
57,94154,32514,665,Salaried,12,2,Divorced,27.868892109025953,0
39,51164,14572,658,Salaried,4,0,Single,29.944441292715034,0
44,90932,61915,672,Salaried,11,0,Single,35.24469986726448,0
52,98097,15721,586,Salaried,13,4,Single,59.48613164122242,1
18,34590,6019,476,Salaried,0,3,Single,100.0,1
52,163501,137601,595,Salaried,21,2,Married,78.08599913233918,1
54,73774,53172,693,Salaried,8,1,Married,56.415179724440165,1
64,159742,99950,784,Self-Employed,25,0,Single,12.246414901974155,0
31,57028,36209,622,Salaried,4,0,Single,69.40700554607947,1
20,42979,10552,675,Salaried,0,0,Single,53.23155537880312,0
18,31516,10903,546,Salaried,0,3,Single,98.08955456842847,1
22,12000,7800,533,Self-Employed,0,3,Single,100.0,1
43,106939,55806,722,Self-Employed,21,2,Divorced,30.533021863367846,0
31,61561,16455,554,Self-Employed,5,1,Married,80.21561844158121,1
56,52037,20414,591,Salaried,2,3,Married,82.57761397591604,1
44,31389,13645,499,Self-Employed,5,4,Married,100.0,1
26,33740,17963,520,Self-Employed,5,3,Married,100.0,1
32,59185,11785,633,Salaried,10,0,Married,22.281704046091512,0
32,56059,3663,607,Salaried,10,1,Married,33.264854830886954,0
43,110901,45725,585,Salaried,8,2,Married,86.94606626834833,1
59,88182,57883,622,Self-Employed,5,3,Single,84.77692254210734,1
30,36333,16946,582,Salaried,0,0,Married,91.89710061590088,1
68,162792,62949,706,Salaried,24,4,Married,20.632810788737903,0
25,12403,9516,512,Student,0,4,Divorced,100.0,1
56,154357,50446,695,Self-Employed,14,2,Married,19.946732646894205,0
19,4924,1258,493,Student,0,2,Married,100.0,1
69,2837,2110,530,Unemployed,16,3,Single,100.0,1
49,59415,21320,643,Salaried,2,2,Married,42.572411657683894,0
21,63937,27086,607,Self-Employed,0,0,Single,77.1194340908769,1
47,68193,20240,592,Salaried,4,0,Single,83.60271082463558,1
18,4405,6140,595,Student,0,0,Single,100.0,1
40,96352,21412,619,Salaried,16,3,Married,64.63521915244968,1
56,2787,2512,518,Unemployed,0,3,Single,100.0,1
62,49886,52314,591,Self-Employed,6,2,Single,100.0,1
32,52520,9090,600,Self-Employed,9,3,Divorced,54.35024728081498,0
60,134890,45575,775,Salaried,18,0,Single,16.687741537827517,0
46,118313,65163,680,Salaried,19,1,Married,43.420180509570244,0
53,136273,68357,696,Self-Employed,29,0,Married,30.75662460736006,0
30,44004,14118,582,Salaried,10,1,Single,58.60640731796673,1
49,137106,86950,640,Self-Employed,22,2,Married,56.62971692524451,1
24,48835,46026,498,Salaried,4,4,Single,100.0,1
68,174096,76214,668,Self-Employed,19,3,Married,63.45319602530342,1
39,32418,11019,570,Salaried,8,3,Married,68.40554509539331,1
45,82555,78681,710,Self-Employed,8,0,Married,65.86916062184207,1
19,53719,20420,679,Self-Employed,0,0,Married,41.81966889919401,0
59,89996,80691,629,Salaried,11,1,Single,58.59650367886546,1
62,67750,21814,577,Salaried,9,3,Single,76.21243019413625,1
23,18628,9219,586,Salaried,1,2,Married,94.775975283156,1
45,106661,74044,643,Salaried,17,0,Married,40.53895139751186,0
45,42794,11835,519,Salaried,1,3,Married,92.27543877042929,1
61,134997,83249,583,Self-Employed,18,4,Married,99.95433944486129,1
61,96090,89928,669,Salaried,5,1,Married,57.42736292441373,1
37,37710,12673,704,Salaried,1,0,Married,39.42678405315026,0
47,115495,27627,687,Salaried,14,0,Single,13.306820051232457,0
28,31265,24285,576,Salaried,0,2,Married,91.74438668320003,1
45,104183,45165,629,Salaried,15,0,Married,55.51741949421713,1
42,2342,2293,530,Unemployed,20,3,Single,100.0,1
25,10836,9848,541,Student,0,3,Divorced,100.0,1
50,80343,29230,580,Salaried,9,3,Divorced,72.11865246652536,1
18,12905,2299,456,Salaried,0,4,Married,95.95880061519313,1
44,101268,64918,622,Self-Employed,9,4,Single,96.0206664442395,1
69,97324,53608,704,Salaried,9,0,Single,36.27325400381568,0
30,67880,52208,508,Salaried,8,4,Married,100.0,1
58,151607,7522,614,Salaried,27,4,Divorced,33.684862626594494,0
20,36224,21398,565,Salaried,0,2,Single,100.0,1
56,1475,6450,510,Unemployed,23,4,Single,100.0,1
23,21923,3869,590,Self-Employed,2,1,Divorced,75.35849068943973,1
25,52374,10654,609,Salaried,0,1,Single,60.30238545562021,1
44,28497,2000,600,Salaried,3,1,Married,32.899916720700304,0
26,48410,24012,627,Self-Employed,2,0,Divorced,67.78035148114039,1
54,120518,75987,613,Self-Employed,11,3,Single,90.44666533550819,1
50,140416,52394,650,Self-Employed,17,2,Married,35.029998888121824,0
68,167840,65512,819,Self-Employed,22,0,Single,13.321383768672188,0
59,129406,8863,646,Salaried,19,3,Single,43.19050124694029,0
61,85093,42004,629,Self-Employed,5,2,Married,70.2991506546052,1
41,141099,50258,618,Self-Employed,20,2,Married,48.10331393961927,0
32,44809,8253,478,Salaried,1,2,Divorced,84.91581869075344,1
49,95620,115770,752,Self-Employed,9,1,Married,63.87694286544195,1
49,53815,15465,732,Salaried,1,1,Single,39.87531693097448,0
41,65623,28284,657,Salaried,8,1,Single,68.87117242997478,1
58,127750,67094,620,Salaried,26,2,Single,52.22368681896445,0
69,163638,43324,827,Salaried,33,2,Single,0.0,0
66,138151,81789,646,Salaried,23,1,Single,35.25432276958027,0
66,117592,66460,690,Salaried,16,2,Single,21.719897455846358,0
69,149284,17258,643,Salaried,28,1,Married,28.802808972480037,0
29,28663,27467,490,Salaried,3,1,Married,100.0,1
56,88430,54337,675,Salaried,11,1,Married,41.61914949764766,0
19,39330,45457,546,Salaried,0,3,Married,100.0,1
20,12000,4134,545,Self-Employed,0,2,Single,99.90458527392873,1
66,154325,72201,811,Salaried,30,0,Single,11.950573139273889,0
54,84223,36399,657,Salaried,8,1,Married,58.15485531336326,1
22,3547,4193,604,Student,0,0,Married,100.0,1
34,81967,40778,542,Self-Employed,2,3,Single,100.0,1
23,5778,9680,579,Student,0,2,Married,100.0,1
19,12360,7781,626,Salaried,0,1,Married,51.04366321597036,0
19,29865,23908,562,Salaried,0,1,Married,100.0,1
45,78698,32086,659,Self-Employed,13,1,Single,71.78000692769156,1
40,66749,31262,621,Salaried,16,0,Married,52.0499470368857,0
54,61899,57861,586,Salaried,1,3,Married,100.0,1
49,76526,58491,655,Salaried,7,2,Married,62.66669191395885,1
50,82543,11591,624,Self-Employed,4,3,Married,62.77492074647819,1
18,14905,2747,486,Salaried,0,1,Married,100.0,1
20,5176,4685,439,Student,0,3,Married,100.0,1
24,11324,4206,549,Student,0,0,Single,100.0,1
61,111993,54079,621,Salaried,15,4,Married,70.84567607035704,1
43,78169,10143,523,Self-Employed,16,4,Married,71.59077866778499,1
49,111346,39115,579,Self-Employed,21,2,Married,61.8727002904054,1
23,57929,31500,453,Self-Employed,2,2,Single,100.0,1
49,78807,54198,692,Salaried,6,3,Single,72.71681569634251,1
21,68416,24734,584,Self-Employed,1,2,Divorced,100.0,1
28,74589,46416,574,Salaried,7,0,Married,75.0691718098566,1
25,10163,2199,598,Student,0,1,Divorced,93.94956592700484,1
55,117305,43887,748,Salaried,22,1,Married,15.175618432249621,0
41,63464,18047,587,Salaried,10,3,Married,72.59151347595962,1
22,39568,42497,612,Self-Employed,2,1,Married,83.67907081191206,1
69,136755,96222,722,Self-Employed,17,3,Divorced,47.735480505829706,0
51,78123,40414,653,Salaried,5,2,Married,70.41010775911609,1
23,12000,7297,573,Salaried,1,2,Married,91.18026008283756,1
39,92138,41081,597,Salaried,11,0,Single,67.29086149739653,1
28,3525,7795,389,Unemployed,6,1,Married,100.0,1
65,129393,83409,766,Self-Employed,27,0,Married,37.59575271758299,0
33,66891,54346,532,Self-Employed,6,4,Single,100.0,1
50,71948,41973,650,Salaried,5,0,Single,55.92385108447433,1
26,45535,35123,588,Salaried,1,3,Single,100.0,1
23,78347,63537,516,Self-Employed,3,3,Single,100.0,1
33,50121,38618,630,Self-Employed,3,0,Single,69.69382905498311,1
46,106914,61835,638,Salaried,8,2,Married,47.733104222362854,0
25,4589,1437,504,Student,0,4,Divorced,100.0,1
37,59310,3780,659,Salaried,13,0,Married,1.7290277069711593,0
53,94315,62687,654,Salaried,18,2,Single,55.11751995479043,1
36,50710,25118,619,Salaried,7,0,Single,68.4187934900625,1
43,54377,18643,608,Salaried,1,1,Married,67.29110606331488,1
20,35375,15283,544,Salaried,0,3,Single,100.0,1
36,52914,29961,591,Salaried,3,1,Married,77.66536647730929,1
37,52501,37660,577,Salaried,5,1,Married,74.5843671977855,1
49,32123,14404,603,Self-Employed,2,4,Married,90.71166621987531,1
24,51108,9586,539,Salaried,2,2,Single,67.40156456102935,1
69,139704,80026,644,Salaried,18,3,Married,74.10020329299712,1
58,146387,50046,758,Salaried,28,1,Single,0.0,0
50,94598,29321,578,Salaried,9,3,Divorced,75.88278764145015,1
57,97973,47063,661,Self-Employed,11,2,Married,39.04655498830842,0
56,146665,127719,743,Salaried,29,0,Single,25.18438503215362,0
35,112268,35905,643,Self-Employed,13,1,Single,44.92555663073566,0
57,123204,70855,644,Self-Employed,17,2,Single,55.52274978216065,1
18,18578,16117,465,Salaried,0,3,Married,100.0,1
28,38265,24808,596,Salaried,7,2,Single,60.950305016913546,1
45,56754,41201,704,Salaried,8,0,Married,41.944988884609316,0
42,105905,4342,674,Salaried,14,2,Single,12.710129530166475,0
67,161022,177302,691,Self-Employed,23,3,Married,71.63237590955409,1
40,32055,23323,518,Salaried,2,1,Married,73.02608434123597,1
48,108170,21541,699,Salaried,22,1,Married,0.0,0
47,114738,89431,587,Salaried,10,4,Married,89.36190230480096,1
59,96269,79211,597,Salaried,9,3,Single,85.72323645939494,1
52,112343,85190,627,Salaried,12,4,Single,66.39705432080893,1
24,66183,9891,538,Salaried,4,4,Married,65.64784529342833,1
33,40577,43912,672,Salaried,5,0,Single,42.55207471995366,0
43,141141,15758,642,Salaried,20,3,Married,49.36364427232297,0
65,82654,54122,663,Self-Employed,12,1,Single,48.67929129773397,0
18,8611,6949,474,Student,0,3,Single,100.0,1
66,161838,37065,776,Salaried,25,0,Single,7.10875280633526,0
19,12000,3153,453,Salaried,0,3,Divorced,100.0,1
18,2080,8279,423,Unemployed,0,3,Single,100.0,1
65,149131,77576,541,Salaried,19,4,Married,98.26397534342141,1
29,44639,2128,567,Salaried,4,3,Single,83.78466424613681,1
22,39935,24140,538,Salaried,1,4,Married,100.0,1
54,138347,65167,582,Self-Employed,13,4,Single,100.0,1
49,91094,53555,581,Salaried,7,2,Divorced,86.14955786219768,1
26,195,9303,575,Unemployed,4,0,Divorced,100.0,1
58,195728,56584,625,Self-Employed,23,4,Single,51.52779828367099,0
52,109857,142227,650,Self-Employed,14,3,Divorced,100.0,1
36,25968,6231,521,Self-Employed,0,4,Divorced,97.60188863071801,1
65,137727,64322,609,Salaried,21,4,Married,63.92144110990036,1
33,37776,19571,551,Salaried,1,4,Married,100.0,1
19,10186,9047,544,Student,0,1,Single,100.0,1
37,2596,5902,592,Unemployed,7,1,Married,100.0,1
41,50936,6338,586,Salaried,2,1,Single,47.36013934995176,0
25,4435,4376,488,Student,0,1,Single,100.0,1
41,94220,57253,620,Salaried,13,2,Divorced,54.649688644964165,0
69,87929,31756,630,Salaried,7,4,Single,75.95320850996633,1
28,20686,23304,548,Salaried,0,2,Married,100.0,1
66,99308,72905,717,Salaried,15,3,Married,43.713606340080204,0
25,53886,49721,677,Salaried,1,0,Divorced,60.80587995677767,1
53,132711,75485,638,Salaried,20,2,Divorced,53.76493047791163,0
55,101655,27935,674,Salaried,9,1,Single,27.49545915866687,0
57,140256,53590,616,Salaried,24,1,Single,31.79730562121801,0
37,61085,5367,617,Salaried,5,3,Married,39.69201882092152,0
52,2093,6298,441,Unemployed,21,4,Single,100.0,1
65,70424,43897,701,Salaried,3,0,Single,49.751118402161154,0
42,55978,10758,588,Salaried,3,2,Single,51.59341218779766,0
52,150672,147637,554,Salaried,29,4,Married,100.0,1
42,57460,6346,587,Salaried,1,4,Married,75.96163432230041,1
46,89189,26375,577,Self-Employed,10,2,Single,78.340474339708,1
35,98353,88963,591,Salaried,13,2,Married,77.402171046164,1
63,118999,20922,707,Self-Employed,20,2,Single,33.98741526378563,0
35,84681,28171,562,Salaried,12,2,Single,45.93240421137328,0
19,39113,24746,647,Salaried,0,1,Married,71.19780651687852,1
52,145500,60021,573,Salaried,20,4,Married,100.0,1
33,34595,12231,470,Salaried,4,4,Married,91.30711084998715,1
58,64894,40137,656,Salaried,3,1,Single,58.020835393128806,1
53,33261,8269,625,Salaried,0,4,Married,70.77272151961736,1
50,137552,61609,660,Salaried,29,2,Married,40.24873690140327,0
21,31177,5843,647,Salaried,1,0,Married,47.038919307289746,0
50,233,4522,407,Unemployed,23,4,Married,100.0,1
31,78781,87334,630,Salaried,2,0,Divorced,75.92531469564044,1
38,43313,15061,622,Salaried,1,0,Married,66.29539471586065,1
65,107346,33158,633,Salaried,8,1,Married,40.3519772833429,0
37,96656,51061,519,Salaried,12,3,Divorced,75.70034114400335,1
25,12000,2000,486,Salaried,1,4,Married,94.60452785130491,1
25,6101,1605,620,Student,0,1,Married,82.39890257293897,1
20,3411,2366,509,Unemployed,0,1,Married,100.0,1
34,70457,13275,615,Salaried,8,0,Single,37.056153860270555,0
50,66526,7823,476,Salaried,9,4,Single,94.90625284025234,1
65,109238,75004,674,Salaried,10,1,Married,36.69324183885248,0
29,80481,33587,575,Self-Employed,8,2,Divorced,91.7472702730088,1
68,149043,33722,736,Salaried,25,1,Divorced,0.0,0
39,48910,38567,579,Salaried,3,2,Single,83.50729912203244,1
39,87147,17349,617,Salaried,9,3,Married,46.8101645126662,0
63,206247,176461,752,Self-Employed,34,2,Single,35.169990713608975,0
47,44366,26249,596,Salaried,5,2,Divorced,89.77188301219066,1
55,88846,63329,686,Salaried,2,0,Divorced,36.32366115493882,0
55,207168,65754,732,Self-Employed,34,1,Married,19.85106856053551,0
62,129476,142236,570,Salaried,21,3,Married,82.60661146017526,1
25,12160,9727,585,Student,0,1,Married,100.0,1
25,32731,11938,636,Salaried,4,2,Married,61.823731378786064,1
44,73691,31224,615,Self-Employed,6,2,Single,77.08435435328069,1
44,127308,84337,635,Self-Employed,18,1,Married,63.93333811628008,1
51,39652,18624,577,Salaried,7,3,Married,100.0,1
38,86987,39814,567,Self-Employed,9,3,Married,100.0,1
47,110702,96525,691,Salaried,16,0,Single,47.59484524303245,0
18,8071,7746,500,Student,0,2,Divorced,100.0,1
45,126810,128029,549,Salaried,12,2,Single,77.02130927780753,1
64,147408,46851,741,Self-Employed,28,0,Married,0.0,0
50,123985,92412,777,Salaried,25,1,Married,30.81365021579357,0
22,704,2886,416,Unemployed,0,2,Married,100.0,1
65,164372,63932,773,Salaried,28,1,Married,7.922424598001257,0
36,1777,7118,491,Unemployed,8,3,Single,100.0,1
19,9051,9439,425,Student,0,4,Single,100.0,1
52,59951,49527,606,Salaried,5,0,Married,64.74934977943887,1
66,59465,26943,649,Self-Employed,4,2,Married,68.77142095862605,1
34,892,1378,560,Unemployed,1,0,Single,100.0,1
61,100499,66921,561,Salaried,10,3,Married,77.77607014918645,1
45,57710,16317,621,Salaried,8,3,Married,60.73399030144571,1
47,47060,36974,554,Salaried,5,3,Married,93.83319488388554,1
46,70717,28174,611,Salaried,7,3,Married,68.89023748157267,1
63,90197,58405,633,Salaried,8,4,Single,75.62592933345233,1
23,39669,20203,626,Salaried,3,1,Single,58.42707669626491,1
52,69341,17673,603,Salaried,2,1,Married,63.82491225331655,1
58,95767,86970,687,Salaried,12,4,Married,57.61281085294046,1
54,125244,55802,642,Salaried,18,1,Married,54.446238468311314,0
19,7417,2399,531,Student,0,3,Married,100.0,1
46,145695,109417,661,Self-Employed,16,1,Married,49.91174704828658,0
66,112286,25425,721,Salaried,15,0,Divorced,0.0,0
63,98430,70923,675,Self-Employed,17,1,Married,34.1720514547996,0
48,93432,10234,702,Self-Employed,13,0,Married,12.342090011502322,0
52,3367,6884,570,Unemployed,29,2,Married,100.0,1
50,49683,34421,630,Salaried,1,0,Single,74.50521012247474,1
69,116059,97746,686,Salaried,12,0,Married,49.74589543645391,0
20,13460,9075,403,Student,0,3,Single,100.0,1
20,7220,4669,500,Student,0,3,Divorced,100.0,1
40,112852,63283,598,Self-Employed,20,3,Married,95.87845348430419,1
50,110969,78674,699,Self-Employed,19,0,Married,49.11003729356455,0
20,38234,25696,501,Salaried,0,4,Single,100.0,1
35,59950,24157,600,Salaried,0,3,Single,87.78825879994285,1
42,101556,85071,579,Salaried,14,3,Single,88.76410425750095,1
59,103076,81863,719,Salaried,19,0,Married,37.79295500963848,0
48,76325,4683,619,Self-Employed,4,2,Single,53.87901081546732,0
20,59219,55569,525,Salaried,0,2,Married,100.0,1
57,43034,32856,608,Salaried,6,1,Divorced,71.43018531321475,1
19,3508,9752,555,Student,0,2,Divorced,100.0,1
41,84001,7020,626,Salaried,10,3,Married,32.612471267096424,0
67,1110,4113,527,Unemployed,31,4,Single,100.0,1
49,233,7153,534,Unemployed,17,1,Divorced,100.0,1
64,144710,18622,534,Salaried,26,4,Divorced,62.33914929413736,1
39,69847,49793,478,Salaried,4,4,Single,100.0,1
40,51003,34542,556,Salaried,12,3,Married,100.0,1
19,12000,3608,520,Salaried,0,0,Single,73.2083025036838,1
44,103689,135469,732,Salaried,17,0,Married,56.19814430937513,1
59,84570,68988,655,Salaried,1,0,Divorced,68.40598088970789,1
19,3171,9111,461,Unemployed,0,2,Single,100.0,1
43,114091,49247,764,Salaried,19,0,Divorced,21.129389009227765,0
34,50200,21172,605,Self-Employed,3,3,Married,95.44867141747075,1
57,91146,74477,658,Salaried,12,2,Divorced,51.69717851508635,0
50,116530,27487,707,Salaried,23,0,Married,32.68059034727776,0
22,14812,4823,440,Student,0,4,Married,100.0,1
60,162820,75731,699,Salaried,28,3,Single,48.585936514650705,0
65,50964,14788,615,Salaried,1,3,Single,72.5477704900763,1
56,149458,59567,695,Self-Employed,17,1,Single,30.124510675313452,0
46,99228,9668,635,Self-Employed,16,3,Divorced,55.24522197431901,1
59,110441,29817,637,Self-Employed,7,4,Married,76.81057662433537,1
43,72089,55896,542,Salaried,14,3,Divorced,76.74816954516817,1
52,96882,82921,705,Salaried,16,1,Divorced,63.41571422163492,1
67,3960,5250,517,Unemployed,22,3,Single,100.0,1
19,4812,5325,493,Student,0,3,Single,100.0,1
41,66476,5017,570,Salaried,5,1,Single,66.61674257520545,1
30,106451,36606,529,Self-Employed,10,3,Single,100.0,1
24,29549,13052,491,Salaried,4,2,Single,96.28067777286282,1
53,145623,70110,752,Salaried,33,3,Married,45.49882439176726,0
62,121697,87331,821,Salaried,17,0,Single,12.351162521176597,0
37,76726,49192,577,Salaried,9,0,Single,72.91917793653704,1
18,30469,9657,480,Salaried,0,2,Single,100.0,1
25,56272,21275,526,Salaried,1,3,Single,96.59600813240793,1
63,90993,96251,651,Salaried,16,4,Divorced,78.95776789774284,1
33,98492,9932,614,Self-Employed,10,3,Married,34.79921622003991,0
31,23484,5757,711,Self-Employed,3,0,Divorced,34.74547606798641,0
29,91693,72050,612,Self-Employed,9,1,Married,75.12302440548709,1
20,5268,8369,484,Student,0,2,Single,100.0,1
